title	age_gender	question	date	answer	answer2	answer3	answer4
Min kæreste vil ha' sex	år	jeg er en pige på 13 år som har en kæreste på 14 snart 15.	02-Aug-15	"Hej pige på 13.

Jeg er en pige på 14. Min veninde på snart 14 havde får omkring et halvt år siden den her dreng som hun var sammen med. De havde sex og hun var kun 13. Det er for tidligt!

Hvis han snart er 15 er det ulovligt. Du bliver nød til at sige fra hvis han spørg. Min veninde ser tit tilbage på det og fortryder det inderligt!

Du skal self også selv bestemme om du er klar men tænk meget grundigt over det. Og hvis du gør det fortryder du det i fremtiden!

Mvh me<3"	Sig nej Fordi du er 13 år og er 14 det er ikke godt	Hej pige 13	Slå op med ham
Forelskelse	13 år		18-Jan-18	"Totalt enig, og synes du skal stole på dine gode sanser - Hr. Bruun"	"Syns du skal spørge hende, og se hendes reaktion.. D kan godt være svært og grænseoverskridende.. Men det må du bide i dig, og hvis i er så gode veninder burde du bare kunne spørge hende ligeud, men lad vær' at starte med at sige at du elsker ham, for venskab er stærkere end den dreng der lavede splid imellem dem.. Håber det var svar nok.. Ellers kan du jo altid snakke med en voksen.. Eller nogle af de andre søde børn og unge her inde på chatten"	"Du skal bare spørge hende, men pas på at han ikke laver samme nummer på dig!"	"Jeg syntes du skal gå hen til hende og spørger om der re nogle drenge hun kan lide, og om hun stadig kan lide ham. Hvis hun kan lide ham vil jeg overveje meget grundtigt om du helst vil ham. I er jo som du siger bedste veninder, og venskab er større en enddreng. Jeg er ret sikker på at hun vil blive sur på dig, hvis du dater ham, fordi athun enten kan lide ham, eller måse syntes at han er en kæmpe idiot. Jeg syntes at hvis hun siger nej så kan du sige de til hende og spørger om hun syntes det er oay hvis du dater ham(:"
Forelskelse	Dreng   11 år	Men min bedste ven har sent en grim besked til hende og har sagt det var mig der skrev det og nu hader hun mig	06 Juni 2017	sig til hinde at det var din ven eller ud ven nu der skrav det til hinde :D god dag	Du skal sige at det var ham	øv øv øv øv øv gaa hen til din ven og si at han er idiot og så lav et kærete brav og gå hen til din pige ven og gi hin den og si at det var [hans naven] til pigen.	Skriv et brev til hende om hvad du føler for hende
Forelsket i bedste vens storebror	Pige   13 år		26-Dec-17	Sup Pige.	"Hej pige.

det er super sødt, at du godt kan lide ham og hvis du er sikker, skal du da bare springe ud i det. Du er bare nødt til at huske, at som 15-årig er man buksemyndig. Han er måske lidt længere fremme en dig og det er du nødt til at huske på."	Du burde fortælle ham hvordan du har det. Din veninde kan hverken styre hvem der dater din bror eller hvem du dater	"Snakker du med ham normalt? Fordi hvis ikke så synes jeg at du burde starte med det først og så når i har lært hinanden at kende, så spørg ham!"
Hjælpe ved ikke om jeg er vild med en pige	Dreng   13 år	"Jeg er en dreng på 13 år. jeg har mødt en pige, hun er rigtig sød"	18-Jan-18	Det lyder som hinde pigen er vildt sød og at du kan lide hinde nu til det du kan gøre er at spøre hinde om i kan henge ud og måske atte hinde på snapen eller andre medier og lære hinde at kende sener kan du måske finde ud af om hun har en kærste og måske spøre hinde om hun kunne tænke sig en kærste og så spøre lidt om hun kunne forestille sig at i kunne være kærster	"Okay, så noget af det du kan kigge efter er om hendes pupiller udvider sig når hun kigger på dig, for når man kigger på nogen man kan lide udvider de. Hun vil nok også være lidt genert overfor dig og rødme måske? Også, prøv at se hvor let det er for dig at få hende til at grine, for folk man er vild med kan nemmere få en til at grine.

Det er de råd jeg kan give, held og lykke:)"	Bare snak med hende. Lad være med at give for mange komplimenter for så risikerer du at blive en ven i stedet. Prøv ikke at virke desparat siden det ogå kan ødelægge det. Du er bare en dude der har det sjovt kan man sige. Ellers bare lær hende at kende og arbejde dig hen imod det du er ude efter. En kæreste ;D	null
Kærelighed	Dreng   11 år	jeg er en dreng på 11 år og jeg har en kæreste men jeg ved ikke helt om jeg kan stole på hende og nogen gange kysser hun med andre drenge	18-Aug-17	"Hejjj, kan man virkelig kalde hende en kæreste hvis hun kysser med andre? Måske skulle du snakke med hende om det og spørge hvad hun selv synes der skal ske? :/"	spørg hende om hun virkelig mener det mellem jer to.	"Jeg tænker også, at i måske skulle snakke med hinanden. Sådan lidt omkring, hvad i mener med at være kærester, og hvad i egenlig føler for hinanden.

Jeg håber i finder ud af det sammen, men nogle gange duer det bare ikke. Og hvis det er tilfældet, kan du nok ikke gøre så meget. Men jeg er sikker på, at du nok skal finde en anden, hvis det er."	null
Problem med popularitet	Dreng   14 år	Det skal siges at jeg skiftede skole fra 6 klasse fordi der ikke var til 9 klasse på skolen så jeg var helt ny og kendte kun mine gamle venner og ingenting om skolens historie.	15 Oktober 2017	"Behøves man da lige at være populær? Det er bedre at have to tætte venner man stoler på, end at have mange der forlader en knust. Jeg tror ikke du kan rigtig gøre noget, da rygter er rygter, og de går kun væk med tiden. Når folk spørger siger du selvfølgelig at det ikke er sandt. Det kan være at du vil føle dig ensom, men der vil ikke være andet at gøre."	"Jeg har været igennem noget lign. Jeg var ok populær, så skete der noget og så var jeg helt ude af fælleskabet, men nu er jeg faktisk på toppen igen. Det jeg gjorde var

1: at lade hver med at tænke over det

2: Jeg fandt nogle andre at snakke med, og blev rigtig tætte med dem, på den måde fik je en ny start på en måde

 good luck"	"Hej. Jeg synes ikke, at du skal spekulere på, om du nogensinde bliver populær igen (selvom jeg godt forstår din pointe med 'populær'). Men, jeg kan godt forstå dit problem med, at du er bange for ikke at få dine venner tilbage igen...

Mit råd er, at du skal være dig selv, spørge dem HVORFOR de ikke vil være venner med dig mere og spørge dem om de vil være venner igen. Det er en mærkelig situation du er havnet i, men, den burde kunne rettes op..."	Behøves man at være populær bare du føler du har det godt og jeg tænker også at hvis der er nogen der hater på dig (at du er kæreste med en pige) skal du sige det til fx din forældre eller lærer på den nye skole
Jeg har været utro	Pige   16 år	"Mit problem er at jeg har en sindsyg skyldfølelse som jeg ikke kan komme videre fra. Der er gået 3 uger nu, siden jeg var min kæreste utro. Jeg fortalte ham det med det samme. Han tænkte længe over det, men valgte at slå op."	17-Sep-16	Hejsa.	"Hejsa.
Det er vildt ærgerligt, og rigtig synd for dig! <3
- Jeg ville råde dig til. at hive fat i ham næste gang du ser ham, og snakke med ham, kom ud med alt det, som du har skrevet herinde, sig at du elsker ham. og bare sig hvad du har på dit hjerte.
- Jeg ville måske også råde dig til, at næste gang du tager til en fest, så lad vær med at drikke dig stang stiv hvor du ikke husker noget som du har lavet, og tænk på, at du har en kæreste som stoler/stolede på dig, hvis ham at han godt kan stole på dig. 
- Du skriver forresten også, at du har fået af vide af nogle, at du har snavet med denne person og at du ikke husker det selv? Hvad hvis nu, at det ikke er rigtigt, og at det bare er noget vrøvl De har fyrret af, du må jeg også sikre dig, at du tager den rigtige beslutning inden du skriver til din kæreste at du har snavet med en anden. Afklar om det er sandt først, inden du fortæller noget til din kæreste. 
Knus J"	"Hejsa.
Det er vildt ærgerligt, og rigtig synd for dig! <3
- Jeg ville råde dig til. at hive fat i ham næste gang du ser ham, og snakke med ham, kom ud med alt det, som du har skrevet herinde, sig at du elsker ham. og bare sig hvad du har på dit hjerte.
- Jeg ville måske også råde dig til, at næste gang du tager til en fest, så lad vær med at drikke dig stang stiv hvor du ikke husker noget som du har lavet, og tænk på, at du har en kæreste som stoler/stolede på dig, hvis ham at han godt kan stole på dig. 
- Du skriver forresten også, at du har fået af vide af nogle, at du har snavet med denne person og at du ikke husker det selv? Hvad hvis nu, at det ikke er rigtigt, og at det bare er noget vrøvl De har fyrret af, du må jeg også sikre dig, at du tager den rigtige beslutning inden du skriver til din kæreste at du har snavet med en anden. Afklar om det er sandt først, inden du fortæller noget til din kæreste. 
Knus J"	"Hejsa.
Det er vildt ærgerligt, og rigtig synd for dig! <3
- Jeg ville råde dig til. at hive fat i ham næste gang du ser ham, og snakke med ham, kom ud med alt det, som du har skrevet herinde, sig at du elsker ham. og bare sig hvad du har på dit hjerte.
- Jeg ville måske også råde dig til, at næste gang du tager til en fest, så lad vær med at drikke dig stang stiv hvor du ikke husker noget som du har lavet, og tænk på, at du har en kæreste som stoler/stolede på dig, hvis ham at han godt kan stole på dig. 
- Du skriver forresten også, at du har fået af vide af nogle, at du har snavet med denne person og at du ikke husker det selv? Hvad hvis nu, at det ikke er rigtigt, og at det bare er noget vrøvl De har fyrret af, du må jeg også sikre dig, at du tager den rigtige beslutning inden du skriver til din kæreste at du har snavet med en anden. Afklar om det er sandt først, inden du fortæller noget til din kæreste. 
Knus J"
ved ikke om jeg vil	Pige   12 år	"jeg er en pige på 12 år og har en hel fantastisk kæreste og vi kan virkelig godt lide hinanden altså vi har kysset, men sidste gang vi gjorde det var det som om han prøvede at snave med mig men ved ikke rigtig er klar til den slags altså jeg vil gerne prøve det men jeg vil gerne gøre det perfekt for jeg virkelig godt lide ham og vil gerne prøve det"	02-Nov-15	"Hej jeg er selv en pige på 13 1/2 og kender godt det når man er i tvivl, men det bedste råd jeg kan give dig er at du skal ikke gøre det før du er 100% sikker på at du er klar, det kan være der går en måned et halvt år hvem ved, det er bare vigtigt du ikke gør noget som du ikke føler dig sikker i."	"Hejsa

Din kæreste er helt sikkert lige så nervøs omkring det som dig! Du kan prøve at sige til din kæreste at du i virkeligheden ikke helt er klar til det. Han vil helt sikkert kunne forstå det. Du kan også prøve at spørge om han vil lære dig det. Det er slet ikke pinligt. Jeg er sikker på at han synes det er mere nuttet og sødt at du beder om hans hjælp og det tror jeg han vil blive stolt over. Eller du kan prøve dig frem, hvis du føler dig klar. Husk på at der ikke er nogen rigtig måde at kysse på! Alle kysser forskelligt så der er altså ikke noget der er perfekt!

Held og lykke med det!"	"Kære pige

Det kan godt virke lidt klamt i starten men du begynder langsomt at kunne lide det hen ad vejen det kommer på et tidspunkt og det er ikke farligt."	"Det bedste råd jeg kan give er det er skræmmende første gang. Jeg vidste heller ikke om jeg var klar, men når du føler du vil så prøv det. Sig du vil prøve men du aldrig hr gjort det før osv."
Forelskelse	Dreng   14 år	Der er en pige i min klasse som jeg er forelsket i. Jeg har skrevet lidt med hende fortiden for at lære hende lidt bedre at kende hende.	26 Marts 2016	"Hej.

Jeg synes helt klart du skal fortælle hende hvad du føler for hende. Du kan starte med at skrive at du synes hun er sød. Hvis hun skriver noget lignende tilbage, er det et godt tegn. Så kan du senere skrive at du synes hun er dejlig. Og til sidst skrive hvad du føler for hende.

Du siger i har skrevet lidt sammen, så kan du måske se om I skriver mere på venne-måden eller om I har gang i en flirt. For hvis I har gang i en flirt, så kan hun sikkert også lide dig.

En dreng fra min parallelklasse skrev også til mig en dag, det udviklede sig faktisk rimelig hurtigt, han fortalte mig hvad han følte, og nu vi kærester. Så jeg synes helt klart du skal fortælle hvad du føler.

Hilsen Pandekagen"	Altså vis du godt kan lide hende så ville det nok være en god ide at spørger hende om hun godt kan være sammen en dag også vis at det går godt så skriv til hende og så spørg om hun gerne vil hænge lidt ud med dig og så når at der er gået noget tid kan du fortælle hende om de følelser som du har for hende og vis hun har de samme følelser for dig kan du spørger om hun vil være din kæreste men vis at hun siger at du ikke er interesseret i dig så bliver du nød til at respektere hende og komme over hende	"Jeg er K med en fra min klasse. Vi blev det over sms. Han skrev om jeg var vild med ham jeg skrev om han var vild med mig. (Uden at svare på hans spørgsmål). Han skrev:

Jeg spurte først. Sådan blev det ved i lang tid. Så skrev jeg

Hvis jeg var vild med dig ville jeg ikke kunne sige det.

Så han skrev:

Så er du jo vild med mig fordi du ikke siger det.

Jeg skrev:

............

Han skrev at han var vild med mig og jeg skrev jeg var vild med ham og puf.

Det kan godt være du ikke gider prøve det men det var sådan jeg fik en K.

Mvh. Mig"	"Jeg er K med en fra min klasse. Vi blev det over sms. Han skrev om jeg var vild med ham jeg skrev om han var vild med mig. (Uden at svare på hans spørgsmål). Han skrev:

Jeg spurte først. Sådan blev det ved i lang tid. Så skrev jeg

Hvis jeg var vild med dig ville jeg ikke kunne sige det.

Så han skrev:

Så er du jo vild med mig fordi du ikke siger det.

Jeg skrev:

............

Han skrev at han var vild med mig og jeg skrev jeg var vild med ham og puf.

Det kan godt være du ikke gider prøve det men det var sådan jeg fik en K.

Mvh. Mig"
Ikke venner mere.	Pige   15 år	"I et halvt år havde jeg en kæreste, som jeg blev ved med at slå op og finde sammen med igen, en dag da vi var kommet sammen igen, Vælger min veninde at lave noget sammen med drengen som jeg havde noget med, foran mig til min fest hvor efter hun siger til mig, at hun ikke har følelser for ham ."	07 Marts 2017	"Hej pige på 15

Jeg er selv kun 11 men måske kan jeg hjælpe:

Jeg synes at du skal invitere hende hjem hvor i kan sidde og snakke om det uden at der er nogle der kan forstyrre. Hvis hun ikke gider lytte så synes jeg at du skal snakke med dine mor om det.

Håber jeg kunne hjælpe :-)"	"Hej

Snak med din veninde og drik noget kakao og sig at du gerne vil have legeaftale en dag med hende og så kan det være at det bliver godt igen."	"Hej pige på 15 jeg er 16 har selv prøvet det jeg fik hjælp af en skoleshyskolog

Det der hjalp mig det var og prøve og

La være med og tinke på det og prøve og finde en ny kæreste jeg har fundet en ny kæreste nu og min ex kæreste slog op med min ex veninde og nu vil min ex kæreste være kærester igen og er jaloux på mig og min kæreste så det hjælper"	"hej pige på 15.

det er ikke en god ting der er sket her kan jeg høre.

min bedste veninde over 11 år, har haft en kæreste de sidste 6 måneder og de har lige slået op. jeg er helt vild med den dreng, men jeg holder mig fra ham fordi jeg ved at det kan ødelægge forholdet med min bedste veninde. så jeg synes ikke at hun er særligt sød, din veninde. men jeg synes personligt at du skal snakke med hende stille og roligt. måske på en café eller noget hvor i kan få jer en kaffe sammen. hvis hun ikke lytter til dig så sig til hende at du ikke synes at hun lytter, så hun kan forstå det mere. og prøv også at sig det til ham drengen, og så kan han måske også forstå det.

håber det kan hjælpe :) <3"
vil med en pige fra min klasse	år	null	16 Marts 2015	"Sig det til hende som det er...!

Held og lykke - s"	Sig det som det er. Der er ikke noget piger ved bedre end at få at vide at nogle kan lide dem ;)	"En pige ville elske hvis du sagde det til hende!! Ikke vær genert, men du behøver jo heller ikke sige det når alle er der. Hvis du har hendes nummer eller i har Instagram så skriv en lang sød besked til hende.

Knuzz fra, mig<3"	"Sig det som det er. Der er ikke noget piger ved bedre end at få at vide at nogle kan lide dem ;)
Håber det kan bruges. Held og lykke i fremtiden."
